event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-001,c. 3.48 Ga,,-3480000000,3480,,Deep time: >100 Ma,9.541579,Earliest strong evidence for reef-like stromatolites,Layered microbial structures in the Pilbara record show that communities were building persistent carbonate structures very early in Earth history.,Geological formation,Geological evidence,Global deep time,"Pilbara, Western Australia",Microbial reef antecedents,Establishes the deep biological ancestry of reef construction.,"Allwood et al. (2006), Stromatolite reef from the Early Archaean era of Australia",https://doi.org/10.1038/nature04764,Primary research,"Grotzinger & Knoll (1999), Stromatolites in Precambrian carbonates",https://doi.org/10.1146/annurev.earth.27.1.313,Synthesis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,The oldest clear signs of reef like stromatolites,Stromatolites are layered structures built by communities of tiny microbes. Rocks from the Pilbara show that such communities were building long lasting carbonate structures very early in Earth's history.,It shows that reef building goes back very deep into the history of life.,"[{""t"": ""Stromatolite | Fossilized, Microbial Mats | Britannica"", ""u"": ""https://www.britannica.com/science/stromatolite"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Stromatolites and the earliest reef-like life""}]"
CR-002,c. 1.8–0.8 Ga,to c. 0.8 Ga,-1800000000,1800,,Deep time: >100 Ma,9.255273,Proterozoic microbial reefs become widespread,Stromatolite and microbialite systems dominate many shallow carbonate platforms before animal reef builders become important.,Geological formation,Geological evidence,Global deep time,Global carbonate platforms,Microbial reefs,Provides the long pre-coral history of reef ecosystems.,"Grotzinger & Knoll (1999), Stromatolites in Precambrian carbonates",https://doi.org/10.1146/annurev.earth.27.1.313,Synthesis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Supporting,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Reefs built by microbes become widespread,Reef systems built by microbes were the main structures on many shallow carbonate platforms. This was before animal reef builders became important.,It gives reef ecosystems a long history from before corals existed.,"[{""t"": ""Stromatolite | Fossilized, Microbial Mats | Britannica"", ""u"": ""https://www.britannica.com/science/stromatolite"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Stromatolites and the earliest reef-like life""}]"
CR-003,c. 550–541 Ma,,-550000000,550,,Deep time: >100 Ma,8.740364,First metazoan framework reefs,Cloudina–Namacalathus and modular Namapoikia communities formed rigid frameworks near the end of the Ediacaran.,Evolutionary milestone,Geological evidence,Global deep time,Namibia and other Ediacaran basins,Early animal reefs,Marks the transition from purely microbial to animal-supported reefs.,"Wood et al. (2002), Proterozoic modular biomineralized metazoan from Namibia",https://doi.org/10.1126/science.1071599,Primary research,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,The first reefs with frameworks built by animals,"Near the end of the Ediacaran, communities of early animals called Cloudina, Namacalathus and Namapoikia built rigid frameworks.",It marks the change from reefs made only by microbes to reefs held up by animals.,"[{""t"": ""Ocean Through Time | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/through-time/ocean-through-time"", ""p"": ""Smithsonian Ocean (National Museum of Natural History)"", ""s"": ""Ancient seas and reefs through deep time""}]"
CR-004,c. 530–520 Ma,,-530000000,530,,Deep time: >100 Ma,8.724278,Archaeocyath sponge reefs proliferate,Archaeocyaths became the first globally important skeletal animal reef builders in the Early Cambrian.,Evolutionary milestone,Geological evidence,Global deep time,Low-latitude Cambrian seas,Archaeocyath reefs,First major radiation of animal-built reefs.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Archaeocyath sponge reefs spread in the Early Cambrian,Archaeocyaths were sponges with hard skeletons. In the Early Cambrian they became the first animal reef builders that were important all around the world.,It was the first big spread of reefs built by animals.,"[{""t"": ""Archaeocyathid | Cambrian, Sponges, Reefs | Britannica"", ""u"": ""https://www.britannica.com/animal/archaeocyathid"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Archaeocyaths, the first sponge reef builders""}]"
CR-005,c. 510 Ma,,-510000000,510,,Deep time: >100 Ma,8.707572,Archaeocyath reef crisis,Archaeocyath reef building collapses during Early–Middle Cambrian environmental turnover.,Extinction / reef crisis,Geological evidence,Global deep time,Global,Archaeocyath reefs,Demonstrates that reef ecosystems repeatedly disappear and reassemble.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,Archaeocyath reef building collapses,Reef building by archaeocyaths collapsed as the environment changed between the Early and Middle Cambrian.,It shows that reef ecosystems disappear and rebuild themselves again and again.,"[{""t"": ""Archaeocyathid | Cambrian, Sponges, Reefs | Britannica"", ""u"": ""https://www.britannica.com/animal/archaeocyathid"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Archaeocyaths, the first sponge reef builders""}]"
CR-006,485–470 Ma,to c. 470 Ma,-485000000,485,,Deep time: >100 Ma,8.685744,Ordovician reef expansion begins,"Stromatoporoid sponges, bryozoans and early corals expand during the Great Ordovician Biodiversification Event.",Evolutionary milestone,Geological evidence,Global deep time,Tropical Ordovician shelves,Palaeozoic reefs,Reefs become major centres of marine diversification.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Reefs begin to spread in the Ordovician,"Stromatoporoid sponges, bryozoans and early corals all spread. This happened during the Great Ordovician Biodiversification Event, a time when many new kinds of sea life appeared.",Reefs became major places where new kinds of sea life appeared.,"[{""t"": ""Ocean Through Time | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/through-time/ocean-through-time"", ""p"": ""Smithsonian Ocean (National Museum of Natural History)"", ""s"": ""Ancient seas and reefs through deep time""}]"
CR-007,c. 450 Ma,,-450000000,450,,Deep time: >100 Ma,8.653214,Tabulate and rugose corals become major reef components,Palaeozoic coral groups increasingly contribute to reef frameworks alongside stromatoporoids.,Evolutionary milestone,Geological evidence,Global deep time,Tropical Ordovician seas,Palaeozoic coral reefs,First major coral-dominated reef phase—although not by modern scleractinians.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Tabulate and rugose corals become major parts of reefs,Coral groups of the Palaeozoic added more and more to reef frameworks. They built alongside sponges called stromatoporoids.,"It was the first big phase of reefs dominated by corals, although not by the modern stony corals called scleractinians.","[{""t"": ""Tabulata | Cambrian, Paleozoic, Anthozoa | Britannica"", ""u"": ""https://www.britannica.com/animal/Tabulata"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""The extinct corals of the Palaeozoic: tabulates and rugosans""}, {""t"": ""Horn coral | Ancient, Reef-Building, Scleractinian | Britannica"", ""u"": ""https://www.britannica.com/animal/horn-coral"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""The extinct corals of the Palaeozoic: tabulates and rugosans""}]"
CR-008,444–443 Ma,to c. 443 Ma,-444000000,444,,Deep time: >100 Ma,8.647385,End-Ordovician mass extinction disrupts reefs,Glaciation and rapid sea-level change cause one of the Big Five extinctions and major reef loss.,Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Palaeozoic reefs,First mass-extinction marker on the reef timeline.,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,A mass extinction at the end of the Ordovician hits reefs,Growing ice and fast changes in sea level caused one of the Big Five mass extinctions. Reefs suffered major losses.,It is the first mass extinction marked on the reef timeline.,"[{""t"": ""What is mass extinction and are we facing a sixth one? | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/what-is-mass-extinction-and-are-we-facing-a-sixth-one.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}, {""t"": ""Permian extinction | Overview & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/Permian-extinction"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}]"
CR-009,430–420 Ma,to c. 420 Ma,-430000000,430,,Deep time: >100 Ma,8.633471,Silurian reef recovery,Stromatoporoid–tabulate reef systems recover and spread across tropical shelves.,Reef recovery,Geological evidence,Global deep time,Silurian tropics,Palaeozoic reefs,Shows post-extinction rebuilding of reef ecosystems.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Reefs recover during the Silurian,Reef systems built by stromatoporoid sponges and tabulate corals recovered. They spread again across tropical shelves.,It shows reef ecosystems rebuilding after a mass extinction.,
CR-010,393–383 Ma,Givetian,-393000000,393,,Deep time: >100 Ma,8.594395,Devonian reef zenith,Large stromatoporoid–coral reef complexes reach some of the greatest extents of the Palaeozoic.,Geological formation,Geological evidence,Global deep time,"Laurussia, western Australia, China",Devonian reefs,A high-water mark for pre-scleractinian reef building.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Reef building reaches its peak in the Devonian,Large reef complexes built by stromatoporoid sponges and corals became some of the biggest of the whole Palaeozoic.,It was a high point for reef building before the modern stony corals appeared.,"[{""t"": ""Ocean Through Time | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/through-time/ocean-through-time"", ""p"": ""Smithsonian Ocean (National Museum of Natural History)"", ""s"": ""Ancient seas and reefs through deep time""}]"
