event_id,display_date,years_bp,chapter,lane,x_cu,x_norm,years_per_cu_ahead,category,region,confidence,animation_priority,headline
CR-001,c. 3.48 Ga,3480000000.0000,Deep time: >100 Ma,-1,0.000,0.000000,12750863.078002,Origins & evolution,Global deep time,High,Core,Earliest strong evidence for reef-like stromatolites
CR-002,c. 1.8–0.8 Ga,1800000000.0000,Deep time: >100 Ma,1,131.756,0.027587,5275221.669316,Origins & evolution,Global deep time,High,Supporting,Proterozoic microbial reefs become widespread
CR-003,c. 550–541 Ma,550000000.0000,Deep time: >100 Ma,-1,368.713,0.077201,2701603.863486,Origins & evolution,Global deep time,High,Core,First metazoan framework reefs
CR-004,c. 530–520 Ma,530000000.0000,Deep time: >100 Ma,1,376.116,0.078751,2601521.138720,Origins & evolution,Global deep time,High,Core,Archaeocyath sponge reefs proliferate
CR-005,c. 510 Ma,510000000.0000,Deep time: >100 Ma,-1,383.803,0.080361,2488738.303226,Crisis & decline,Global deep time,High,Core,Archaeocyath reef crisis
CR-006,485–470 Ma,485000000.0000,Deep time: >100 Ma,1,393.849,0.082464,2943013.857440,Origins & evolution,Global deep time,High,Core,Ordovician reef expansion begins
CR-007,c. 450 Ma,450000000.0000,Deep time: >100 Ma,-1,405.741,0.084954,857142.857143,Origins & evolution,Global deep time,High,Core,Tabulate and rugose corals become major reef components
CR-008,444–443 Ma,444000000.0000,Deep time: >100 Ma,1,412.741,0.086420,2000000.000000,Crisis & decline,Global deep time,High,Core,End-Ordovician mass extinction disrupts reefs
CR-009,430–420 Ma,430000000.0000,Deep time: >100 Ma,-1,419.741,0.087886,2291659.606734,Recovery & resilience,Global deep time,High,Core,Silurian reef recovery
CR-010,393–383 Ma,393000000.0000,Deep time: >100 Ma,1,435.887,0.091266,1913374.041518,Origins & evolution,Global deep time,High,Core,Devonian reef zenith
CR-011,372–359 Ma,372000000.0000,Deep time: >100 Ma,-1,446.862,0.093564,1828601.843624,Crisis & decline,Global deep time,High,Core,Late Devonian reef collapse
CR-012,359–323 Ma,359000000.0000,Deep time: >100 Ma,1,453.971,0.095053,1704621.994489,Crisis & decline,Global deep time,High,Core,Early Carboniferous “reef gap”
CR-013,323–299 Ma,323000000.0000,Deep time: >100 Ma,-1,475.090,0.099475,1983243.396831,Recovery & resilience,Global deep time,High,Supporting,Late Carboniferous reef recovery remains patchy
CR-014,c. 300–240 Ma (molecular estimate),300000000.0000,Deep time: >100 Ma,1,486.688,0.101903,142857.142857,Science & discovery,Global deep time,Medium,Supporting,Photosymbiosis may predate the fossil radiation
CR-015,299–260 Ma,299000000.0000,Deep time: >100 Ma,-1,493.688,0.103368,2606943.928373,Origins & evolution,Global deep time,High,Core,Permian sponge–algal reef expansion
CR-016,252.0 Ma,252000000.0000,Deep time: >100 Ma,1,511.716,0.107143,142857.142857,Crisis & decline,Global deep time,High,Core,End-Permian mass extinction devastates reefs
CR-017,251–249 Ma,251000000.0000,Deep time: >100 Ma,-1,518.716,0.108609,57142.857143,Recovery & resilience,Global deep time,High,Core,Microbial reefs dominate the immediate aftermath
CR-018,c. 250.6 Ma,250600000.0000,Deep time: >100 Ma,1,525.716,0.110075,514285.714286,Science & discovery,Global deep time,High,Core,Unexpectedly early post-Permian metazoan reefs
CR-019,c. 247–242 Ma,247000000.0000,Deep time: >100 Ma,-1,532.716,0.111540,857142.857143,Recovery & resilience,Global deep time,High,Core,Middle Triassic reef rebuilding accelerates
CR-020,c. 241–240 Ma,241000000.0000,Deep time: >100 Ma,1,539.716,0.113006,571428.571429,Origins & evolution,Global deep time,High,Core,Scleractinian corals appear in the fossil record
CR-021,237–201 Ma,237000000.0000,Deep time: >100 Ma,-1,546.716,0.114472,1562839.433102,Origins & evolution,Global deep time,High,Core,Triassic coral–sponge reefs spread
CR-022,201.4 Ma,201400000.0000,Deep time: >100 Ma,1,569.495,0.119241,978916.247482,Crisis & decline,Global deep time,High,Core,End-Triassic extinction causes another reef crisis
CR-023,190–160 Ma,190000000.0000,Deep time: >100 Ma,-1,581.141,0.121679,833027.948420,Recovery & resilience,Global deep time,High,Core,Jurassic coral reefs recover and expand
CR-024,145–100 Ma,145000000.0000,Deep time: >100 Ma,1,635.161,0.132990,660997.853241,Crisis & decline,Global deep time,High,Core,Rudist bivalves rival corals as reef builders
CR-025,120–90 Ma,120000000.0000,Deep time: >100 Ma,-1,672.982,0.140909,1169263.887173,Crisis & decline,Global deep time,High,Core,Ocean-anoxic events repeatedly reorganize reefs
CR-026,66.0 Ma,66000000.0000,Deep time: 100–2.6 Ma,1,719.165,0.150579,428571.428571,Crisis & decline,Global deep time,High,Core,Cretaceous–Paleogene extinction removes rudist reefs
CR-027,63–61 Ma,63000000.0000,Deep time: 100–2.6 Ma,-1,726.165,0.152045,501119.985500,Recovery & resilience,Global deep time,High,Core,Reef frameworks reappear after K–Pg
CR-028,56–40 Ma,56000000.0000,Deep time: 100–2.6 Ma,1,740.134,0.154969,355975.948208,Origins & evolution,Global deep time,High,Core,Eocene greenhouse reefs diversify
CR-029,34 Ma,34000000.0000,Deep time: 100–2.6 Ma,-1,801.936,0.167910,227224.573207,Crisis & decline,Global deep time,High,Core,Eocene–Oligocene cooling triggers coral turnover
CR-030,23–16 Ma,23000000.0000,Deep time: 100–2.6 Ma,1,850.346,0.178046,151112.927426,Origins & evolution,Global deep time,High,Core,Miocene reef-coral radiation
CR-031,15–5 Ma,15000000.0000,Deep time: 100–2.6 Ma,-1,903.287,0.189130,75281.104199,Origins & evolution,Coral Triangle / Indo-Pacific,High,Core,Coral diversity shifts toward the Indo-Pacific
